GEO.id,Geography,Families Median income (dollars),Families Mean income (dollars)
0500000US26147,"St. Clair County, Michigan",62526,73575
0500000US26155,"Shiawassee County, Michigan",57702,67109
0500000US26159,"Van Buren County, Michigan",54320,64831
0500000US26161,"Washtenaw County, Michigan",85556,110518
0500000US26163,"Wayne County, Michigan",51870,68395
0500000US27003,"Anoka County, Minnesota",84460,101517
0500000US27013,"Blue Earth County, Minnesota",76006,89230
0500000US27019,"Carver County, Minnesota",102535,131012
0500000US27037,"Dakota County, Minnesota",92482,114664
0500000US27053,"Hennepin County, Minnesota",87410,119169
0500000US27109,"Olmsted County, Minnesota",86973,107970
0500000US27123,"Ramsey County, Minnesota",73896,94618
0500000US27131,"Rice County, Minnesota",73663,90077
0500000US27137,"St. Louis County, Minnesota",66147,79682
0500000US27139,"Scott County, Minnesota",102808,119624
0500000US27141,"Sherburne County, Minnesota",86510,105064
0500000US27145,"Stearns County, Minnesota",70052,82677
0500000US27163,"Washington County, Minnesota",100858,124532
0500000US27171,"Wright County, Minnesota",87691,97344
0500000US28033,"DeSoto County, Mississippi",68649,80540
0500000US28035,"Forrest County, Mississippi",47969,65271
0500000US28047,"Harrison County, Mississippi",48126,60065
0500000US28049,"Hinds County, Mississippi",49459,68885
0500000US28059,"Jackson County, Mississippi",54276,68999
0500000US28067,"Jones County, Mississippi",46656,62213
0500000US28075,"Lauderdale County, Mississippi",51023,62632
0500000US28081,"Lee County, Mississippi",53777,73535
0500000US28089,"Madison County, Mississippi",78574,115746
0500000US28121,"Rankin County, Mississippi",70513,83055
0500000US29019,"Boone County, Missouri",72913,84408
0500000US29021,"Buchanan County, Missouri",58166,68821
0500000US29031,"Cape Girardeau County, Missouri",60391,72401
0500000US29037,"Cass County, Missouri",72061,85113
0500000US29043,"Christian County, Missouri",58488,72574
0500000US29047,"Clay County, Missouri",73816,86769
0500000US29051,"Cole County, Missouri",61844,82741
0500000US29071,"Franklin County, Missouri",61343,68693
0500000US29077,"Greene County, Missouri",53854,67430
0500000US29095,"Jackson County, Missouri",62918,78842
0500000US29097,"Jasper County, Missouri",51985,66758
0500000US29099,"Jefferson County, Missouri",66179,73323
0500000US29165,"Platte County, Missouri",81824,103041
0500000US29183,"St. Charles County, Missouri",88592,104118
0500000US29187,"St. Francois County, Missouri",52026,66254
0500000US29189,"St. Louis County, Missouri",79456,107543
0500000US29510,"St. Louis city, Missouri",45324,62985
0500000US30013,"Cascade County, Montana",55844,68597
0500000US30029,"Flathead County, Montana",57589,68663
0500000US30031,"Gallatin County, Montana",68877,86753
0500000US30049,"Lewis and Clark County, Montana",67949,78705
0500000US30063,"Missoula County, Montana",68982,86844
0500000US30111,"Yellowstone County, Montana",66078,88126
0500000US31055,"Douglas County, Nebraska",68776,85494
0500000US31109,"Lancaster County, Nebraska",69836,85169
0500000US31153,"Sarpy County, Nebraska",83975,97394
0500000US32003,"Clark County, Nevada",60023,75880
0500000US32031,"Washoe County, Nevada",65917,84991
0500000US33005,"Cheshire County, New Hampshire",67558,92686
0500000US33009,"Grafton County, New Hampshire",67334,90338
0500000US33011,"Hillsborough County, New Hampshire",84553,104717
0500000US33013,"Merrimack County, New Hampshire",79185,96166
0500000US33015,"Rockingham County, New Hampshire",96921,118330
0500000US33017,"Strafford County, New Hampshire",77754,95998
0500000US34001,"Atlantic County, New Jersey",65151,82337
0500000US34003,"Bergen County, New Jersey",102642,132398
0500000US34005,"Burlington County, New Jersey",96665,116976
0500000US34007,"Camden County, New Jersey",76705,96620
0500000US34009,"Cape May County, New Jersey",71130,90989
0500000US34011,"Cumberland County, New Jersey",52541,67234
0500000US34013,"Essex County, New Jersey",71102,110003
0500000US34015,"Gloucester County, New Jersey",98478,111928
0500000US34017,"Hudson County, New Jersey",61218,88467
0500000US34019,"Hunterdon County, New Jersey",131311,153319
0500000US34021,"Mercer County, New Jersey",92443,124276
0500000US34023,"Middlesex County, New Jersey",93517,112378
0500000US34025,"Monmouth County, New Jersey",110805,141375
0500000US34027,"Morris County, New Jersey",121522,157077
0500000US34029,"Ocean County, New Jersey",74501,93855
0500000US34031,"Passaic County, New Jersey",72922,93225
0500000US34033,"Salem County, New Jersey",73971,86949
0500000US34035,"Somerset County, New Jersey",117587,158167
0500000US34037,"Sussex County, New Jersey",96958,115685
0500000US34039,"Union County, New Jersey",82704,113954
0500000US34041,"Warren County, New Jersey",91572,103833
0500000US35001,"Bernalillo County, New Mexico",60359,79197
0500000US35005,"Chaves County, New Mexico",49520,61825
0500000US35013,"Do�a Ana County, New Mexico",45497,63687
0500000US35025,"Lea County, New Mexico",66346,77749
0500000US35031,"McKinley County, New Mexico",36955,51795
0500000US35035,"Otero County, New Mexico",46959,55697
0500000US35043,"Sandoval County, New Mexico",63929,83012
0500000US35045,"San Juan County, New Mexico",57023,69698
0500000US35049,"Santa Fe County, New Mexico",60314,85036
0500000US35061,"Valencia County, New Mexico",47959,56282
0500000US36001,"Albany County, New York",85220,101220
0500000US36005,"Bronx County, New York",37041,53901
0500000US36007,"Broome County, New York",62655,72887
0500000US36009,"Cattaraugus County, New York",57523,66442
0500000US36011,"Cayuga County, New York",63570,75344
0500000US36013,"Chautauqua County, New York",54329,62063
0500000US36015,"Chemung County, New York",62595,77423
0500000US36019,"Clinton County, New York",67170,76538
0500000US36027,"Dutchess County, New York",88738,104924
0500000US36029,"Erie County, New York",66374,84187
0500000US36045,"Jefferson County, New York",60496,72502
0500000US36047,"Kings County, New York",54206,81759
0500000US36051,"Livingston County, New York",61146,72461
0500000US36053,"Madison County, New York",59541,80003
0500000US36055,"Monroe County, New York",67371,87067
0500000US36059,"Nassau County, New York",114233,148248
0500000US36061,"New York County, New York",90457,179175
0500000US36063,"Niagara County, New York",65536,76861
0500000US36065,"Oneida County, New York",61147,75227
0500000US36067,"Onondaga County, New York",69270,86091
0500000US36069,"Ontario County, New York",71980,91329
0500000US36071,"Orange County, New York",84611,97883
0500000US36075,"Oswego County, New York",59579,68813
0500000US36079,"Putnam County, New York",110144,132011
0500000US36081,"Queens County, New York",63896,82165
0500000US36083,"Rensselaer County, New York",72018,87004
0500000US36085,"Richmond County, New York",80937,99236
0500000US36087,"Rockland County, New York",100463,124942
0500000US36089,"St. Lawrence County, New York",55911,69315
0500000US36091,"Saratoga County, New York",86633,103478
0500000US36093,"Schenectady County, New York",76369,92505
0500000US36101,"Steuben County, New York",57579,69680
0500000US36103,"Suffolk County, New York",102002,124134
0500000US36105,"Sullivan County, New York",62298,73835
